Restaurant Name,average_rating,popularity
Sumo Sushi,3.95,2
Street Cafe,0.0,2
Stop My Starvation,4.3,2
Standard Sweets,1.8,2
Spooky Sky,3.45,2
SpiceKlub,4.300000000000001,2
Spice Route,3.5,2
Special Chicken Biryani,0.0,2
Spanish Delights,3.3,2
Soya Bite's,0.0,2
South Indian Corner,3.4,2
South Indian Cafe,3.0,2
South Cafe,1.75,2
Sonya Bakery Cafe,3.4,2
Snacks Point,1.45,2
Snack Shack,1.35,2
Snack Junction,3.1,2
Smoke House Deli,4.05,2
Smaaash,3.95,2
Singz,2.7,2
Singh Chicken,0.0,2
Silantro Fil-Mex,4.85,2
Natural Ice Cream,4.5,2
Khana Khazana,1.85,2
Nanking,3.6500000000000004,2
Chawlas 2,1.5,2
Chalte Firte Momos & Special Foods,3.35,2
Chao Cart,3.2,2
Chauhan Hotel,1.45,2
Chawla Family Restaurant,3.05,2
Chawla's,3.3499999999999996,2
Chawla's Tandoori Xpress,2.85,2
Chawnsan Chef,3.4,2
Chai Mantra,1.6,2
Chennai Express,1.6,2
Chick-fil-A,3.7,2
Chili's Grill & Bar,3.9499999999999997,2
Chilli Tadka,0.0,2
China Garden,3.8499999999999996,2
China Hot Pot,2.75,2
Chai Thela,1.55,2
Chaap Point,3.2,2
Chinese Fast Food,0.0,2
Cafe Coffee Day The Square,3.6500000000000004,2
Brown Town,1.35,2
Burger Hut,3.2,2
Burger Joint,1.75,2
Burgrill,4.45,2
Cafe Brown Sugar,3.6500000000000004,2
Cafe Buddy's,1.45,2
Cafe Diva,3.8499999999999996,2
Ceviche Tapas Bar & Restaurant,4.25,2
Caffe 9,4.2,2
Caffe Tonino,3.8499999999999996,2
Caff�� La Poya,1.85,2
Cake 24x7,1.65,2
Cake Palace,3.25,2
Carl's Jr.,3.65,2
China Hut,2.7,2
Chinese Hot,0.0,2
BonJuz,1.55,2
Dev Food,0.0,2
Dana Pani,1.4,2
Delhi Biryani Hut,1.35,2
Delhi Chaat Bhandar,0.0,2
Delhi Club House,4.0,2
Delight Express,1.45,2
Desi Tadka,1.5,2
Dezertfox,3.9,2
Da Pizza Zone,0.0,2
Dilli BC,4.25,2
Dilli Light,1.3,2
Dilli Rasoi,1.6,2
Din Tai Fung,4.35,2
Dishoom,4.6,2
Dosa Plaza,1.6,2
Dabba Meat,3.25,2
D Food,0.0,2
Chinese King,2.5,2
Coco Bambu,4.550000000000001,2
Choco Kraft,1.6,2
Chokola,3.45,2
Chutneez Restaurant Lounge & Bar,2.55,2
Cinnabon,4.0,2
Circus,3.95,2
Clever Fox Cafe,3.1,2
Coldpress Company,4.05,2
Crust N Cakes,3.3,2
Comesum,2.35,2
Cones & Curries,1.85,2
Cook Du Kdu,3.1500000000000004,2
Country Curries,3.1,2
Crazy Noodles,1.8,2
Crudo Juicery,4.3,2
Brijwasi Restaurant,3.0,2
Bon Bon Pastry Shop,3.3,2
Nagpal's,3.45,2
Anupam Sweets,2.55,2
Ammu's South Indian Restaurant,2.95,2
Amritsari Dhaba,3.05,2
Anand Sweets,0.0,2
Angeethi,3.05,2
Anjlika Pastry Shop,3.75,2
Ankur Family Restaurant,2.8499999999999996,2
Arabian Delites,3.6,2
Amar Bakery,1.65,2
Arabian Nites,3.65,2
Ashok Meat Wala,3.55,2
Ashoka Restaurant,3.55,2
Asian Haus,4.0,2
Au Bon Pain,3.25,2
Aureo Dine & Bake House,1.75,2
Americana Kitchen and Bar,2.5999999999999996,2
All About Food,1.95,2
Bake Club,3.1500000000000004,2
Adarsh Kulfi,1.5,2
34 Parkstreet Lane,3.05,2
4700BC Popcorn,3.5,2
6 Pack Momos,1.4,2
A Piece of Paris,3.75,2
AB's Absolute Barbecues,4.85,2
Aap Ki Khatir,0.0,2
Adyar Ananda Bhavan,3.15,2
Alaturka,2.95,2
Aggarwal Bikaneri Sweets,1.45,2
Aggarwal Sweet & Bakers,1.45,2
Aggarwal Sweets & Restaurant,1.35,2
Aggarwal Sweets Centre,1.45,2
Aggarwal's Sweets Paradise,2.8,2
Al Zaika,1.45,2
Baba Chicken Ludhiana Wale,1.55,2
Bake Walkers,0.0,2
Bombay Brasserie,4.4,2
Biryani Art,3.6999999999999997,2
Bikaner Kesarvala,1.6,2
Bikaner Misthan Bhandar,0.0,2
Bikaner Rasoi,0.0,2
Bikaner Sweets & Bakers,0.0,2
Bikaner's,2.65,2
Bikano Chat Cafe,2.8,2
Biryani Bot,0.0,2
Big Wong XL,3.95,2
Biryani Express,0.0,2
Biryani Vice,1.8,2
Biryaniwala,2.35,2
Black Pepper,2.05,2
Blue Tokai Coffee Roasters,3.85,2
Bobby Tikki Wala,2.9,2
Bijoli Grill,3.7,2
Big Fat Sandwich,3.2,2
Baker Street,3.8499999999999996,2
Basil Tree,2.9,2
Baker's Stop,3.75,2
Bakers Oven,3.6,2
Baking Bad,3.75,2
Bakingo,2.85,2
Balaji Dhaba,1.35,2
Barbeque Ville,4.1,2
Beijing Street,3.7,2
Big Dragon,3.35,2
Beliram Degchiwala,3.5,2
Bengal Sweet Corner,2.8,2
Bhappe Di Hatti,3.3,2
Bhimsain's Bengali Sweet House,3.15,2
Bhoj Restaurant,3.25,2
Big Biryani,0.0,2
Drifters Cafe,4.0,2
Drool Waffles,3.6500000000000004,2
Druk,3.4499999999999997,2
Kumar Pastry Shop,3.25,2
Kolkata Biryani House,3.0999999999999996,2
Kolkata Hot Kathi Roll,2.95,2
Kolkata Kathi Roll,3.1,2
Konetto Pizza,1.75,2
Koyla Kebab,3.35,2
Kulcha King,1.9,2
La Americana,3.6500000000000004,2
Khidmat,3.5,2
Lasha Chinese Food,0.0,2
Laxmi Ice Cream,3.55,2
Lazeez Restaurant,1.5,2
Le Chef,3.15,2
Let's Noodle,1.3,2
Liquid,3.6,2
Kitchen King,1.3,2
Khan Chicken Biryani,2.9,2
Little Italy,3.55,2
Kake Di Hatti,3.55,2
Jain Restaurant,1.5,2
Joey's Pizza,4.25,2
Juice Lounge,1.7,2
Jyoti Sweets,0.0,2
KC Bakers,1.6,2
Kake Da Dhaba,0.0,2
Kamal's,3.25,2
Khalsa Veg Corner,3.25,2
Kamboj's,2.5999999999999996,2
Kanha Sweets,3.4499999999999997,2
Kati Roll Cottage,3.6,2
Kaveri Restaurant And Caterers,3.7,2
Kebab Gali,3.9,2
Kesarwa Bakez,0.0,2
Litti.In,3.4,2
Los Agaves,2.05,2
Dunkin Donuts,4.0,2
Mother's Kitchen,1.45,2
Mitthu Tikki Wala,3.3,2
Mogambo Kitchen,1.55,2
Moksha,3.45,2
Mom's Kitchen,1.75,2
Momos House,3.0999999999999996,2
Moon Bite,3.2,2
Moti Mahal Delux- Legendary Culinary,3.6,2
Mithaas,3.05,2
Mr. Baker's,1.5,2
Mr. Momo,1.35,2
Muffins,2.7,2
Munch Nation,3.9,2
Murliwala Bakers,0.0,2
Mysore Cafe,3.6,2
Mithaas Sweets,2.9000000000000004,2
Mirchievous,3.5,2
MR.D - Deliciousness Delivered,3.4,2
Mahi Rasoi,1.3,2
Made In Punjab,4.05,2
Madhuvan Chinese Fast Food,2.6,2
Madras Coffee House,1.5,2
Madras Dosa & Chinese,1.35,2
Maggi Point,0.0,2
Magic Masala,1.5,2
Manohar Bikkaneri,3.7,2
Midnight Hunger,3.45,2
Manohar Dairy And Restaurant,4.25,2
Matchbox,4.4,2
Mellow Mushroom,4.25,2
Metro Dhaba,1.9,2
Metro Fast Food,2.6500000000000004,2
Miam,3.55,2
Jahangeer Foods,3.25,2
Jack Po!tato's,3.4,2
JSB Evergreen Snack & Sweets,3.1500000000000004,2
Garam Dharam,3.55,2
Fluffles - The Fluffy Waffle Co.,3.0,2
Food Express,1.8,2
Food Factory,1.5,2
Fresh Meat CO,1.45,2
Fresh n Refresh,3.0999999999999996,2
Frozen Factory,3.8,2
Garam Masala,0.0,2
Flavours,3.0999999999999996,2
Garden Hut,2.9000000000000004,2
Garota de Ipanema,4.6,2
Ghar Ka Khana,0.0,2
Go Kylin,3.15,2
Golden Bakery,0.0,2
Granite City Food & Brewery,4.05,2
Flavours Kitchen,0.0,2
Flavors Of London,1.5,2
Italiano,3.3,2
Evergreen Sweets,2.7,2
D�_vero��lu,4.300000000000001,2
EDC Mania,1.65,2
Effingut Brewerkz,4.3,2
Eggers Madhouse,3.85,2
Embassy,3.25,2
Essen Foods,0.0,2
Faaso's,1.8,2
Fit Bites,3.75,2
Fabulous Cake Bites,3.5,2
Fast Trax,3.3,2
Fat Lulu's,3.75,2
Firangi Bake,0.0,2
First Eat,3.8,2
Fish Streat,3.7,2
Green Chilli,1.4,2
Green Leaf,3.25,2
Green Restaurant,1.8,2
Hungry Minister,3.5,2
Hot Joint Fast Food,1.3,2
Hot Stuff,3.4,2
Hotel Malabar,3.3,2
Hunger Strike,3.5,2
Hunger's Hub,1.55,2
Hungry - I,3.1500000000000004,2
Hurry's Paratha,3.5,2
Green Valley Chinese Food,0.0,2
Hwealthcafe,3.8,2
Hyderabad House,3.1,2
Ichiban,4.1,2
Imly,3.9,2
Imperfecto,3.55,2
Invitation,1.8,2
Hot Cherries,3.6,2
Hot & Spicy,1.45,2
Hornbill,3.55,2
High On Burgers,3.35,2
Hawkers,3.05,2
Harry's Bar + Cafe,3.6500000000000004,2
Halki Aanch,3.0,2
Haldiram Bhujiawala,3.45,2
Habibi,3.4000000000000004,2
Gymkhana,4.7,2
Gupta Ji Ka Dhaba,1.3,2
Gupta Chat Corner,3.5,2
Gung The Palace,3.95,2
Gullu's,3.0,2
Gulab,2.95,2
Grover Sweets,1.55,2
Grillz,2.35,2
bu��no,3.75,2
